iter	Logloss
0	0.5981467299
5	0.3062026714
10	0.1975606236
15	0.1465026142
20	0.1197255053
25	0.106674401
30	0.09716088295
35	0.08730320351
40	0.0823140245
45	0.07711975259
50	0.07241239625
55	0.06922440109
60	0.0649673395
65	0.0618767236
70	0.05802151286
75	0.05520119522
80	0.05256138478
85	0.05018240544
90	0.04795172086
95	0.04584370947
100	0.04386808416
105	0.0427314275
110	0.04133763507
115	0.03981146138
120	0.03822100255
125	0.03689615657
130	0.03497912648
135	0.03362613196
140	0.03268417842
145	0.03176412703
150	0.03083080715
155	0.03008033355
160	0.0292260729
165	0.02836831686
170	0.02705316449
175	0.02634476796
180	0.02558519818
185	0.02498836961
190	0.02416544212
195	0.02355706746
200	0.02309336451
205	0.02252982035
210	0.02177237526
215	0.02126987381
220	0.02059182519
225	0.02020661535
230	0.01979015907
235	0.01933676038
240	0.01885707045
245	0.0183907574
250	0.01798109314
255	0.0175464469
260	0.0170261614
265	0.01665850676
270	0.01633886122
